"","task.id","learner.id","iter","mae"
"313","usagi2013","ranger.tuned",3,5.04829251193087
"314","usagi2013","ranger.tuned",4,5.16038406412588
"315","usagi2013","ranger.tuned",5,5.79847552877046
"316","usagi2013","xgboost.tuned",1,4.75091328772152
"317","usagi2013","xgboost.tuned",2,5.09459622393032
"318","usagi2013","xgboost.tuned",3,4.86144080635153
"319","usagi2013","xgboost.tuned",4,5.94450173220087
"320","usagi2013","xgboost.tuned",5,5.87331881072387
"321","utor2013","ranger.tuned",1,5.262107368129
"322","utor2013","ranger.tuned",2,5.76945169594132
"323","utor2013","ranger.tuned",3,5.23897494006219
"324","utor2013","ranger.tuned",4,5.24316612955689
"325","utor2013","ranger.tuned",5,5.36372824782319
"326","utor2013","xgboost.tuned",1,5.65312899958386
"327","utor2013","xgboost.tuned",2,6.19534432528553
"328","utor2013","xgboost.tuned",3,5.12465690538059
"329","utor2013","xgboost.tuned",4,5.39401425370907
"330","utor2013","xgboost.tuned",5,5.17699755083858
"331","vamco2020","ranger.tuned",1,5.58851081023028
"332","vamco2020","ranger.tuned",2,5.57339285289063
"333","vamco2020","ranger.tuned",3,5.20585473271896
"334","vamco2020","ranger.tuned",4,6.04987771505311
"335","vamco2020","ranger.tuned",5,5.14452691605777
"336","vamco2020","xgboost.tuned",1,5.47976002402336
"337","vamco2020","xgboost.tuned",2,5.39259133014463
"338","vamco2020","xgboost.tuned",3,5.20312828854731
"339","vamco2020","xgboost.tuned",4,6.17137189794797
"340","vamco2020","xgboost.tuned",5,5.20040300851166
"341","vongfong2020","ranger.tuned",1,5.62558769601895
"342","vongfong2020","ranger.tuned",2,5.46278152761859
"343","vongfong2020","ranger.tuned",3,5.43687372094843
"344","vongfong2020","ranger.tuned",4,5.0979795375871
"345","vongfong2020","ranger.tuned",5,5.18856043570962
"346","vongfong2020","xgboost.tuned",1,5.82410272547726
"347","vongfong2020","xgboost.tuned",2,5.58019767554409
"348","vongfong2020","xgboost.tuned",3,5.44763757357587
"349","vongfong2020","xgboost.tuned",4,4.67067842160324
"350","vongfong2020","xgboost.tuned",5,5.57762852055315
"351","yutu2018","ranger.tuned",1,5.12742659892412
"352","yutu2018","ranger.tuned",2,5.36461948509094
"353","yutu2018","ranger.tuned",3,5.46038271731801
"354","yutu2018","ranger.tuned",4,4.36081893611959
"355","yutu2018","ranger.tuned",5,5.96844041083174
"356","yutu2018","xgboost.tuned",1,4.96562363809475
"357","yutu2018","xgboost.tuned",2,5.13721859064264
"358","yutu2018","xgboost.tuned",3,5.71748987390319
"359","yutu2018","xgboost.tuned",4,4.62502995519793
"360","yutu2018","xgboost.tuned",5,5.42229726036014
